strategy,2021_return,2021_max_drawdown,2021_trades,2022_return,2022_max_drawdown,2022_trades,2023_return,2023_max_drawdown,2023_trades,2024_return,2024_max_drawdown,2024_trades,2025_return,2025_max_drawdown,2025_trades,min_year_return,worst_year_drawdown,pass_year_count
breakout_60_10_s0.08_w1.00,-0.10912476100499979,-0.11687504997484954,1,-0.22149155047499958,-0.2917056004434612,3,0.2304866491200006,-0.17245023435879858,3,0.035840945643750066,-0.09235797385056753,2,-0.010069829639999917,-0.05003339010437811,1,-0.22149155047499958,-0.2917056004434612,1
breakout_60_20_s0.08_w1.00,-0.10912476100499979,-0.11687504997484954,1,-0.22149155047499958,-0.2917056004434612,3,0.2304866491200006,-0.17245023435879858,3,0.035840945643750066,-0.09235797385056753,2,-0.050943327727499876,-0.08648474961575744,1,-0.22149155047499958,-0.2917056004434612,1
ma_40_120_w0.25,-0.02903579418149982,-0.06507323797478971,3,-0.007338511572299811,-0.08423361736746802,3,0.1804824311147999,-0.11334001985688383,1,-0.0053585331607000075,-0.059690968294864574,1,-0.025005469771499866,-0.06469007318419229,2,-0.02903579418149982,-0.11334001985688383,0
ma_stop_40_120_s0.20_w0.33,-0.03790354516460004,-0.08478817062609487,4,-0.008434696971100109,-0.11177931730289692,4,0.18452697926740025,-0.13349135989366054,5,-0.0068063149318000615,-0.07485419790151895,1,-0.034025640597499685,-0.08697444029342627,2,-0.03790354516460004,-0.13349135989366054,0
ma_10_120_w0.25,-0.04633886149179978,-0.05802736751114738,3,0.07620050685460034,-0.07131376938783343,4,0.17516047669650003,-0.11334001985688383,1,-0.022894119417000036,-0.05548542649912439,1,-0.03275094738770001,-0.039999602625491584,3,-0.04633886149179978,-0.11334001985688383,0
ma_20_120_w0.33,-0.037680398726899766,-0.05623439786709976,3,-0.029227691643199938,-0.10968049128781852,3,0.15167904903195017,-0.1697953518315875,1,0.00021866621950006326,-0.07925851104044525,1,-0.04780438420199973,-0.06525283856764466,3,-0.04780438420199973,-0.1697953518315875,0
ma_stop_10_120_s0.20_w0.33,-0.05979452943319974,-0.07548902904777689,3,0.0848175364996,-0.09378150354658697,5,0.18002378706730027,-0.13349135989366054,5,-0.029747355242100038,-0.07141540203427343,1,-0.04470248004089972,-0.05533510393487903,3,-0.05979452943319974,-0.13349135989366054,0
ma_40_60_w0.25,-0.04127342317429983,-0.09424060484154004,4,-0.014001745958699852,-0.07902278765033934,3,0.1765883181257999,-0.11334001985688383,1,-0.03444399961,-0.061378677448014105,2,-0.06395730286139978,-0.06836567508459979,5,-0.06395730286139978,-0.11334001985688383,0
buy_hold_w0.33,-0.04977966726399985,-0.13732663863212338,1,0.054594312175400006,-0.1385895592265528,1,0.1465030799631999,-0.1942369644016794,1,-0.06422003086759998,-0.16158051691531866,1,-0.03322178918599994,-0.0910877980254979,1,-0.06422003086759998,-0.1942369644016794,0
ma_60_250_w0.33,0.0,0.0,0,0.02608866531849996,-0.031997511026608035,1,0.1465030799631999,-0.1942369644016794,1,-0.06603080367720005,-0.1015400308676,2,-0.018276447574000043,-0.08496783659565975,1,-0.06603080367720005,-0.1942369644016794,0
ma_20_180_w0.33,-0.027694019438200046,-0.04838311944665316,1,0.14302946861940025,-0.09169952232353547,2,0.1465030799631999,-0.1942369644016794,1,-0.03513486224680007,-0.071785538137936,2,-0.06892226727749995,-0.11656437016390003,2,-0.06892226727749995,-0.1942369644016794,0
ma_40_180_w0.33,-0.07083379808019996,-0.07930762741216903,1,-0.008342920567499856,-0.09609682237620908,2,0.1465030799631999,-0.1942369644016794,1,-0.07285926940559995,-0.07285926940559992,2,-0.021122145527499914,-0.08496783659565975,1,-0.07285926940559995,-0.1942369644016794,0
ma_20_120_w0.50,-0.057981085734899684,-0.0855807259761497,3,-0.046534432456249775,-0.16520966508941393,3,0.23199920610750002,-0.22624926466177803,1,0.00033865735750016057,-0.11208761649322542,1,-0.07425905282375,-0.10100032964840543,3,-0.07425905282375,-0.22624926466177803,0
ma_stop_20_120_s0.20_w0.50,-0.057981085734899684,-0.0855807259761497,3,-0.03571561842124982,-0.16468347499248026,5,0.19031311099125037,-0.2015280617710209,5,0.00033865735750016057,-0.11208761649322542,1,-0.07425905282375,-0.10100032964840543,3,-0.07425905282375,-0.2015280617710209,0
ma_stop_40_60_s0.20_w0.33,-0.055302473640699734,-0.12462123783304789,5,-0.018615391542399995,-0.10281456170651475,4,0.18123196058440016,-0.13349135989366054,5,-0.04588727353419997,-0.07768208667476814,2,-0.08401413842790006,-0.08953710370690009,5,-0.08401413842790006,-0.13349135989366054,0
ma_stop_20_120_s0.08_w0.50,-0.04119864877029966,-0.07271937913583612,5,-0.09744091450079984,-0.17779483218827374,8,0.2743523909679517,-0.2023813944518569,23,0.0018214909612501717,-0.105160835231248,4,-0.05343657812999969,-0.10392539460702062,5,-0.09744091450079984,-0.2023813944518569,0
